epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685374663373,2023-05-29T18:37:43.373,0.000,0.099,-0.830,0.501
1685374663393,2023-05-29T18:37:43.393,0.020,0.097,-0.842,0.507
1685374663413,2023-05-29T18:37:43.413,0.040,0.099,-0.845,0.513
1685374663433,2023-05-29T18:37:43.433,0.060,0.104,-0.847,0.510
1685374663453,2023-05-29T18:37:43.453,0.080,0.108,-0.849,0.507
1685374663473,2023-05-29T18:37:43.473,0.100,0.105,-0.849,0.503
1685374663493,2023-05-29T18:37:43.493,0.120,0.104,-0.848,0.503
1685374663513,2023-05-29T18:37:43.513,0.140,0.107,-0.843,0.502
1685374663533,2023-05-29T18:37:43.533,0.160,0.113,-0.847,0.493
1685374663553,2023-05-29T18:37:43.553,0.180,0.121,-0.846,0.483
1685374663573,2023-05-29T18:37:43.573,0.200,0.127,-0.836,0.489
1685374663593,2023-05-29T18:37:43.593,0.220,0.125,-0.822,0.491
1685374663613,2023-05-29T18:37:43.613,0.240,0.127,-0.814,0.488
1685374663633,2023-05-29T18:37:43.633,0.260,0.119,-0.799,0.491
1685374663653,2023-05-29T18:37:43.653,0.280,0.108,-0.768,0.513
1685374663673,2023-05-29T18:37:43.673,0.300,0.114,-0.726,0.539
1685374663693,2023-05-29T18:37:43.693,0.320,0.089,-0.692,0.545
1685374663713,2023-05-29T18:37:43.713,0.340,0.081,-0.663,0.541
1685374663733,2023-05-29T18:37:43.733,0.360,0.087,-0.628,0.529
1685374663753,2023-05-29T18:37:43.753,0.380,0.066,-0.591,0.535
1685374663773,2023-05-29T18:37:43.773,0.400,-0.011,-0.560,0.592
1685374663793,2023-05-29T18:37:43.793,0.420,-0.103,-0.564,0.646
1685374663813,2023-05-29T18:37:43.813,0.440,-0.161,-0.603,0.626
1685374663833,2023-05-29T18:37:43.833,0.460,-0.213,-0.646,0.600
1685374663853,2023-05-29T18:37:43.853,0.480,-0.253,-0.694,0.632
1685374663873,2023-05-29T18:37:43.873,0.500,-0.277,-0.733,0.692
1685374663893,2023-05-29T18:37:43.893,0.520,-0.288,-0.770,0.738
1685374663913,2023-05-29T18:37:43.913,0.540,-0.285,-0.812,0.780
1685374663933,2023-05-29T18:37:43.933,0.560,-0.292,-0.853,0.785
1685374663953,2023-05-29T18:37:43.953,0.580,-0.311,-0.883,0.752
1685374663973,2023-05-29T18:37:43.973,0.600,-0.261,-0.913,0.749
1685374663993,2023-05-29T18:37:43.993,0.620,-0.167,-0.956,0.758
1685374664013,2023-05-29T18:37:44.013,0.640,-0.049,-0.998,0.766
