epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685374517611,2023-05-29T18:35:17.611,0.000,-2.744,1.585,-1.098
1685374517631,2023-05-29T18:35:17.631,0.020,-2.988,1.098,-1.098
1685374517651,2023-05-29T18:35:17.651,0.040,-2.744,1.890,-0.183
1685374517671,2023-05-29T18:35:17.671,0.060,-2.744,3.780,0.915
1685374517691,2023-05-29T18:35:17.691,0.080,-2.561,5.000,1.585
1685374517711,2023-05-29T18:35:17.711,0.100,-2.012,5.976,2.134
1685374517731,2023-05-29T18:35:17.731,0.120,-1.646,8.720,2.927
1685374517751,2023-05-29T18:35:17.751,0.140,-1.768,13.232,2.744
1685374517771,2023-05-29T18:35:17.771,0.160,-2.256,14.207,3.537
1685374517791,2023-05-29T18:35:17.791,0.180,-3.354,11.463,4.451
1685374517811,2023-05-29T18:35:17.811,0.200,-4.207,8.171,4.817
1685374517831,2023-05-29T18:35:17.831,0.220,-4.939,6.098,5.000
1685374517851,2023-05-29T18:35:17.851,0.240,-6.585,2.683,5.061
1685374517871,2023-05-29T18:35:17.871,0.260,-7.256,1.159,6.768
1685374517891,2023-05-29T18:35:17.891,0.280,-6.402,2.500,9.085
1685374517911,2023-05-29T18:35:17.911,0.300,-5.244,3.354,11.524
1685374517931,2023-05-29T18:35:17.931,0.320,-3.659,2.744,13.902
1685374517951,2023-05-29T18:35:17.951,0.340,-1.524,0.976,15.793
1685374517971,2023-05-29T18:35:17.971,0.360,1.463,-1.768,17.927
1685374517991,2023-05-29T18:35:17.991,0.380,5.488,-6.220,20.549
1685374518011,2023-05-29T18:35:18.011,0.400,10.854,-10.427,24.512
1685374518031,2023-05-29T18:35:18.031,0.420,18.659,-15.793,31.280
1685374518051,2023-05-29T18:35:18.051,0.440,26.829,-13.171,39.512
1685374518071,2023-05-29T18:35:18.071,0.460,34.695,2.561,45.122
1685374518091,2023-05-29T18:35:18.091,0.480,42.073,17.073,48.720
1685374518111,2023-05-29T18:35:18.111,0.500,48.902,22.012,50.427
1685374518131,2023-05-29T18:35:18.131,0.520,55.549,19.695,50.854
1685374518151,2023-05-29T18:35:18.151,0.540,62.073,17.378,51.707
1685374518171,2023-05-29T18:35:18.171,0.560,67.927,19.085,51.402
1685374518191,2023-05-29T18:35:18.191,0.580,72.622,25.793,48.354
1685374518211,2023-05-29T18:35:18.211,0.600,74.756,29.329,42.256
1685374518231,2023-05-29T18:35:18.231,0.620,74.756,28.720,33.293
1685374518251,2023-05-29T18:35:18.251,0.640,72.500,25.732,21.646
