epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685389312380,2023-05-29T22:41:52.380,0.000,-0.242,-0.807,0.463
1685389312400,2023-05-29T22:41:52.400,0.020,-0.233,-0.816,0.461
1685389312420,2023-05-29T22:41:52.420,0.040,-0.219,-0.822,0.454
1685389312440,2023-05-29T22:41:52.440,0.060,-0.236,-0.816,0.450
1685389312460,2023-05-29T22:41:52.460,0.080,-0.249,-0.804,0.449
1685389312480,2023-05-29T22:41:52.480,0.100,-0.253,-0.792,0.448
1685389312500,2023-05-29T22:41:52.500,0.120,-0.265,-0.786,0.443
1685389312520,2023-05-29T22:41:52.520,0.140,-0.293,-0.781,0.439
1685389312540,2023-05-29T22:41:52.540,0.160,-0.288,-0.786,0.427
1685389312560,2023-05-29T22:41:52.560,0.180,-0.281,-0.785,0.406
1685389312580,2023-05-29T22:41:52.580,0.200,-0.279,-0.776,0.413
1685389312600,2023-05-29T22:41:52.600,0.220,-0.304,-0.753,0.428
1685389312620,2023-05-29T22:41:52.620,0.240,-0.341,-0.723,0.439
1685389312640,2023-05-29T22:41:52.640,0.260,-0.356,-0.696,0.452
1685389312660,2023-05-29T22:41:52.660,0.280,-0.350,-0.695,0.462
1685389312680,2023-05-29T22:41:52.680,0.300,-0.363,-0.699,0.475
1685389312700,2023-05-29T22:41:52.700,0.320,-0.378,-0.692,0.486
1685389312720,2023-05-29T22:41:52.720,0.340,-0.391,-0.679,0.495
1685389312740,2023-05-29T22:41:52.740,0.360,-0.408,-0.674,0.510
1685389312760,2023-05-29T22:41:52.760,0.380,-0.418,-0.679,0.530
1685389312780,2023-05-29T22:41:52.780,0.400,-0.439,-0.682,0.541
1685389312800,2023-05-29T22:41:52.800,0.420,-0.443,-0.682,0.547
1685389312820,2023-05-29T22:41:52.820,0.440,-0.426,-0.673,0.557
1685389312840,2023-05-29T22:41:52.840,0.460,-0.424,-0.655,0.562
1685389312860,2023-05-29T22:41:52.860,0.480,-0.416,-0.652,0.575
1685389312880,2023-05-29T22:41:52.880,0.500,-0.438,-0.671,0.596
1685389312900,2023-05-29T22:41:52.900,0.520,-0.460,-0.673,0.615
1685389312920,2023-05-29T22:41:52.920,0.540,-0.448,-0.669,0.619
1685389312940,2023-05-29T22:41:52.940,0.560,-0.446,-0.687,0.624
1685389312960,2023-05-29T22:41:52.960,0.580,-0.445,-0.699,0.640
1685389312980,2023-05-29T22:41:52.980,0.600,-0.435,-0.714,0.654
1685389313000,2023-05-29T22:41:53.000,0.620,-0.424,-0.732,0.666
1685389313020,2023-05-29T22:41:53.020,0.640,-0.418,-0.746,0.685
1685389313040,2023-05-29T22:41:53.040,0.660,-0.403,-0.738,0.702
1685389313060,2023-05-29T22:41:53.060,0.680,-0.390,-0.735,0.712
1685389313080,2023-05-29T22:41:53.080,0.700,-0.386,-0.760,0.723
1685389313100,2023-05-29T22:41:53.100,0.720,-0.354,-0.781,0.729
1685389313120,2023-05-29T22:41:53.120,0.740,-0.338,-0.789,0.728
1685389313140,2023-05-29T22:41:53.140,0.760,-0.317,-0.805,0.731
1685389313160,2023-05-29T22:41:53.160,0.780,-0.286,-0.813,0.728
1685389313180,2023-05-29T22:41:53.180,0.800,-0.264,-0.815,0.709
1685389313200,2023-05-29T22:41:53.200,0.820,-0.240,-0.817,0.691
