epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685197882452,2023-05-27T17:31:22.452,0.000,-6.220,12.744,4.085
1685197882472,2023-05-27T17:31:22.472,0.020,-6.585,13.598,4.024
1685197882492,2023-05-27T17:31:22.492,0.040,-6.463,18.171,4.512
1685197882512,2023-05-27T17:31:22.512,0.060,-9.146,20.000,5.732
1685197882532,2023-05-27T17:31:22.532,0.080,-11.951,17.561,4.939
1685197882552,2023-05-27T17:31:22.552,0.100,-11.951,15.671,4.085
1685197882572,2023-05-27T17:31:22.572,0.120,-10.854,16.890,2.073
1685197882592,2023-05-27T17:31:22.592,0.140,-9.146,17.561,-0.427
1685197882612,2023-05-27T17:31:22.612,0.160,-9.329,4.939,-1.951
1685197882632,2023-05-27T17:31:22.632,0.180,-9.634,-13.415,-3.415
1685197882652,2023-05-27T17:31:22.652,0.200,-7.012,-23.049,-4.390
1685197882672,2023-05-27T17:31:22.672,0.220,-2.195,-23.720,-5.427
1685197882692,2023-05-27T17:31:22.692,0.240,3.049,-16.890,-5.244
1685197882712,2023-05-27T17:31:22.712,0.260,9.329,-4.878,-3.902
1685197882732,2023-05-27T17:31:22.732,0.280,14.024,-0.854,-3.415
1685197882752,2023-05-27T17:31:22.752,0.300,16.280,1.890,-2.561
1685197882772,2023-05-27T17:31:22.772,0.320,19.024,6.037,-2.622
1685197882792,2023-05-27T17:31:22.792,0.340,21.646,8.902,-3.841
1685197882812,2023-05-27T17:31:22.812,0.360,24.695,13.232,-4.939
1685197882832,2023-05-27T17:31:22.832,0.380,28.354,16.524,-6.159
1685197882852,2023-05-27T17:31:22.852,0.400,31.280,17.561,-8.354
1685197882872,2023-05-27T17:31:22.872,0.420,30.732,26.707,-9.207
1685197882892,2023-05-27T17:31:22.892,0.440,36.280,44.573,-8.110
1685197882912,2023-05-27T17:31:22.912,0.460,38.110,45.488,-5.000
1685197882932,2023-05-27T17:31:22.932,0.480,37.561,37.012,-5.061
1685197882952,2023-05-27T17:31:22.952,0.500,37.195,18.963,-7.439
1685197882972,2023-05-27T17:31:22.972,0.520,35.488,-4.390,-10.549
1685197882992,2023-05-27T17:31:22.992,0.540,35.854,-14.207,-13.963
1685197883012,2023-05-27T17:31:23.012,0.560,37.927,-16.341,-17.561
1685197883032,2023-05-27T17:31:23.032,0.580,38.415,-12.561,-19.878
1685197883052,2023-05-27T17:31:23.052,0.600,39.085,-0.976,-22.012
1685197883072,2023-05-27T17:31:23.072,0.620,35.488,9.390,-23.902
1685197883092,2023-05-27T17:31:23.092,0.640,24.207,4.390,-26.646
1685197883112,2023-05-27T17:31:23.112,0.660,10.061,-1.524,-28.659
1685197883132,2023-05-27T17:31:23.132,0.680,-2.195,1.098,-28.598
1685197883152,2023-05-27T17:31:23.152,0.700,-13.659,0.915,-27.073
1685197883172,2023-05-27T17:31:23.172,0.720,-24.878,-7.439,-25.366
1685197883192,2023-05-27T17:31:23.192,0.740,-35.488,-17.561,-22.439
1685197883212,2023-05-27T17:31:23.212,0.760,-44.085,-20.305,-17.439
1685197883232,2023-05-27T17:31:23.232,0.780,-43.354,-12.134,-10.732
1685197883252,2023-05-27T17:31:23.252,0.800,-36.463,-0.488,-1.951
1685197883272,2023-05-27T17:31:23.272,0.820,-30.000,4.390,10.488
1685197883292,2023-05-27T17:31:23.292,0.840,-25.976,-4.695,16.402
1685197883312,2023-05-27T17:31:23.312,0.860,-19.329,-7.866,19.146
1685197883332,2023-05-27T17:31:23.332,0.880,-9.817,-0.061,22.683
1685197883352,2023-05-27T17:31:23.352,0.900,1.524,11.951,24.390
1685197883372,2023-05-27T17:31:23.372,0.920,12.988,16.037,26.646
1685197883392,2023-05-27T17:31:23.392,0.940,21.951,12.073,26.524
1685197883412,2023-05-27T17:31:23.412,0.960,29.573,9.390,24.207
1685197883432,2023-05-27T17:31:23.432,0.980,37.195,13.780,21.402
1685197883452,2023-05-27T17:31:23.452,1.000,41.402,3.720,17.622
1685197883472,2023-05-27T17:31:23.472,1.020,44.634,-6.829,11.829
1685197883492,2023-05-27T17:31:23.492,1.040,44.390,-1.646,6.829
1685197883512,2023-05-27T17:31:23.512,1.060,38.720,8.963,3.902
1685197883532,2023-05-27T17:31:23.532,1.080,30.488,24.085,0.854
1685197883552,2023-05-27T17:31:23.552,1.100,19.146,25.915,-2.500
1685197883572,2023-05-27T17:31:23.572,1.120,3.293,1.402,-6.707
1685197883592,2023-05-27T17:31:23.592,1.140,-7.988,-25.549,-10.000
1685197883612,2023-05-27T17:31:23.612,1.160,-15.061,-38.293,-11.951
1685197883632,2023-05-27T17:31:23.632,1.180,-13.415,-31.159,-11.280
1685197883652,2023-05-27T17:31:23.652,1.200,-8.963,-26.220,-9.329
1685197883672,2023-05-27T17:31:23.672,1.220,-6.341,-38.780,-6.951
1685197883692,2023-05-27T17:31:23.692,1.240,-3.720,-41.098,-7.134
1685197883712,2023-05-27T17:31:23.712,1.260,2.073,-1.463,-4.634
1685197883732,2023-05-27T17:31:23.732,1.280,2.256,21.220,-1.463
1685197883752,2023-05-27T17:31:23.752,1.300,-4.390,9.939,-2.439
1685197883772,2023-05-27T17:31:23.772,1.320,-12.927,1.524,-0.854
1685197883792,2023-05-27T17:31:23.792,1.340,-18.963,3.171,1.646
1685197883812,2023-05-27T17:31:23.812,1.360,-25.671,2.561,3.415
1685197883832,2023-05-27T17:31:23.832,1.380,-30.183,3.780,5.732
