epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685198288416,2023-05-27T17:38:08.416,0.000,0.300,-0.966,0.378
1685198288436,2023-05-27T17:38:08.436,0.020,0.267,-0.963,0.384
1685198288456,2023-05-27T17:38:08.456,0.040,0.258,-0.945,0.390
1685198288476,2023-05-27T17:38:08.476,0.060,0.251,-0.925,0.398
1685198288496,2023-05-27T17:38:08.496,0.080,0.220,-0.902,0.392
1685198288516,2023-05-27T17:38:08.516,0.100,0.200,-0.879,0.389
1685198288536,2023-05-27T17:38:08.536,0.120,0.186,-0.848,0.401
1685198288556,2023-05-27T17:38:08.556,0.140,0.238,-0.816,0.417
1685198288576,2023-05-27T17:38:08.576,0.160,0.241,-0.789,0.411
1685198288596,2023-05-27T17:38:08.596,0.180,0.219,-0.763,0.397
1685198288616,2023-05-27T17:38:08.616,0.200,0.215,-0.740,0.390
1685198288636,2023-05-27T17:38:08.636,0.220,0.209,-0.712,0.389
1685198288656,2023-05-27T17:38:08.656,0.240,0.246,-0.694,0.396
1685198288676,2023-05-27T17:38:08.676,0.260,0.311,-0.671,0.421
1685198288696,2023-05-27T17:38:08.696,0.280,0.309,-0.645,0.429
1685198288716,2023-05-27T17:38:08.716,0.300,0.280,-0.650,0.390
1685198288736,2023-05-27T17:38:08.736,0.320,0.460,-0.668,0.398
1685198288756,2023-05-27T17:38:08.756,0.340,0.364,-0.693,0.390
1685198288776,2023-05-27T17:38:08.776,0.360,0.267,-0.698,0.362
1685198288796,2023-05-27T17:38:08.796,0.380,0.277,-0.760,0.359
1685198288816,2023-05-27T17:38:08.816,0.400,0.370,-0.814,0.371
1685198288836,2023-05-27T17:38:08.836,0.420,0.399,-0.868,0.358
1685198288856,2023-05-27T17:38:08.856,0.440,0.377,-0.887,0.315
1685198288876,2023-05-27T17:38:08.876,0.460,0.348,-0.900,0.265
1685198288896,2023-05-27T17:38:08.896,0.480,0.276,-0.880,0.222
1685198288916,2023-05-27T17:38:08.916,0.500,0.230,-0.903,0.160
1685198288936,2023-05-27T17:38:08.936,0.520,0.310,-0.950,0.119
1685198288956,2023-05-27T17:38:08.956,0.540,0.382,-0.981,0.137
1685198288976,2023-05-27T17:38:08.976,0.560,0.397,-0.990,0.179
1685198288996,2023-05-27T17:38:08.996,0.580,0.335,-1.013,0.193
1685198289016,2023-05-27T17:38:09.016,0.600,0.303,-1.028,0.169
1685198289036,2023-05-27T17:38:09.036,0.620,0.375,-1.055,0.157
1685198289056,2023-05-27T17:38:09.056,0.640,0.388,-1.069,0.200
1685198289076,2023-05-27T17:38:09.076,0.660,0.400,-1.076,0.269
1685198289096,2023-05-27T17:38:09.096,0.680,0.436,-1.082,0.320
1685198289116,2023-05-27T17:38:09.116,0.700,0.417,-1.061,0.366
1685198289136,2023-05-27T17:38:09.136,0.720,0.426,-1.048,0.393
1685198289156,2023-05-27T17:38:09.156,0.740,0.496,-1.048,0.417
1685198289176,2023-05-27T17:38:09.176,0.760,0.468,-1.015,0.454
1685198289196,2023-05-27T17:38:09.196,0.780,0.451,-0.990,0.497
1685198289216,2023-05-27T17:38:09.216,0.800,0.459,-0.967,0.510
1685198289236,2023-05-27T17:38:09.236,0.820,0.398,-0.935,0.510
1685198289256,2023-05-27T17:38:09.256,0.840,0.330,-0.919,0.570
1685198289276,2023-05-27T17:38:09.276,0.860,0.365,-0.927,0.625
1685198289296,2023-05-27T17:38:09.296,0.880,0.347,-0.899,0.626
1685198289316,2023-05-27T17:38:09.316,0.900,0.304,-0.859,0.615
1685198289336,2023-05-27T17:38:09.336,0.920,0.329,-0.833,0.622
1685198289356,2023-05-27T17:38:09.356,0.940,0.345,-0.814,0.613
1685198289376,2023-05-27T17:38:09.376,0.960,0.352,-0.787,0.586
1685198289396,2023-05-27T17:38:09.396,0.980,0.305,-0.765,0.550
1685198289416,2023-05-27T17:38:09.416,1.000,0.260,-0.752,0.520
1685198289436,2023-05-27T17:38:09.436,1.020,0.280,-0.755,0.481
1685198289456,2023-05-27T17:38:09.456,1.040,0.286,-0.751,0.415
1685198289476,2023-05-27T17:38:09.476,1.060,0.255,-0.732,0.363
1685198289496,2023-05-27T17:38:09.496,1.080,0.276,-0.729,0.373
1685198289516,2023-05-27T17:38:09.516,1.100,0.251,-0.721,0.358
1685198289536,2023-05-27T17:38:09.536,1.120,0.189,-0.701,0.313
1685198289556,2023-05-27T17:38:09.556,1.140,0.267,-0.742,0.284
1685198289576,2023-05-27T17:38:09.576,1.160,0.209,-0.755,0.264
1685198289596,2023-05-27T17:38:09.596,1.180,0.147,-0.757,0.229
1685198289616,2023-05-27T17:38:09.616,1.200,0.121,-0.771,0.187
1685198289636,2023-05-27T17:38:09.636,1.220,0.095,-0.798,0.154
1685198289656,2023-05-27T17:38:09.656,1.240,0.107,-0.828,0.167
1685198289676,2023-05-27T17:38:09.676,1.260,0.114,-0.842,0.228
1685198289696,2023-05-27T17:38:09.696,1.280,0.139,-0.875,0.277
1685198289716,2023-05-27T17:38:09.716,1.300,0.150,-0.900,0.301
1685198289736,2023-05-27T17:38:09.736,1.320,0.130,-0.914,0.297
1685198289756,2023-05-27T17:38:09.756,1.340,0.134,-0.917,0.305
1685198289776,2023-05-27T17:38:09.776,1.360,0.119,-0.919,0.333
1685198289796,2023-05-27T17:38:09.796,1.380,0.129,-0.926,0.365
1685198289816,2023-05-27T17:38:09.816,1.400,0.159,-0.937,0.379
1685198289836,2023-05-27T17:38:09.836,1.420,0.146,-0.934,0.374
1685198289856,2023-05-27T17:38:09.856,1.440,0.140,-0.926,0.363
1685198289876,2023-05-27T17:38:09.876,1.460,0.167,-0.923,0.376
1685198289896,2023-05-27T17:38:09.896,1.480,0.141,-0.920,0.391
1685198289916,2023-05-27T17:38:09.916,1.500,0.148,-0.917,0.394
1685198289936,2023-05-27T17:38:09.936,1.520,0.169,-0.918,0.385
1685198289956,2023-05-27T17:38:09.956,1.540,0.175,-0.908,0.392
1685198289976,2023-05-27T17:38:09.976,1.560,0.146,-0.908,0.409
1685198289996,2023-05-27T17:38:09.996,1.580,0.152,-0.916,0.400
1685198290016,2023-05-27T17:38:10.016,1.600,0.156,-0.916,0.387
1685198290036,2023-05-27T17:38:10.036,1.620,0.153,-0.911,0.378
1685198290056,2023-05-27T17:38:10.056,1.640,0.169,-0.916,0.366
1685198290076,2023-05-27T17:38:10.076,1.660,0.161,-0.913,0.375
1685198290096,2023-05-27T17:38:10.096,1.680,0.155,-0.906,0.385
1685198290116,2023-05-27T17:38:10.116,1.700,0.167,-0.908,0.379
1685198290136,2023-05-27T17:38:10.136,1.720,0.162,-0.910,0.372
1685198290156,2023-05-27T17:38:10.156,1.740,0.156,-0.915,0.371
1685198290176,2023-05-27T17:38:10.176,1.760,0.161,-0.907,0.374
1685198290196,2023-05-27T17:38:10.196,1.780,0.165,-0.896,0.372
1685198290216,2023-05-27T17:38:10.216,1.800,0.168,-0.901,0.375
1685198290236,2023-05-27T17:38:10.236,1.820,0.168,-0.901,0.377
1685198290256,2023-05-27T17:38:10.256,1.840,0.169,-0.902,0.378
1685198290276,2023-05-27T17:38:10.276,1.860,0.177,-0.902,0.366
1685198290296,2023-05-27T17:38:10.296,1.880,0.181,-0.904,0.357
1685198290316,2023-05-27T17:38:10.316,1.900,0.167,-0.900,0.375
1685198290336,2023-05-27T17:38:10.336,1.920,0.156,-0.894,0.391
1685198290356,2023-05-27T17:38:10.356,1.940,0.172,-0.898,0.391
1685198290376,2023-05-27T17:38:10.376,1.960,0.168,-0.896,0.384
1685198290396,2023-05-27T17:38:10.396,1.980,0.156,-0.897,0.376
1685198290416,2023-05-27T17:38:10.416,2.000,0.171,-0.899,0.377
1685198290436,2023-05-27T17:38:10.436,2.020,0.169,-0.896,0.384
1685198290456,2023-05-27T17:38:10.456,2.040,0.176,-0.896,0.383
1685198290476,2023-05-27T17:38:10.476,2.060,0.185,-0.899,0.377
1685198290496,2023-05-27T17:38:10.496,2.080,0.171,-0.901,0.373
1685198290516,2023-05-27T17:38:10.516,2.100,0.174,-0.900,0.375
1685198290536,2023-05-27T17:38:10.536,2.120,0.169,-0.901,0.372
1685198290556,2023-05-27T17:38:10.556,2.140,0.168,-0.906,0.370
1685198290576,2023-05-27T17:38:10.576,2.160,0.167,-0.908,0.365
1685198290596,2023-05-27T17:38:10.596,2.180,0.177,-0.906,0.369
1685198290616,2023-05-27T17:38:10.616,2.200,0.168,-0.907,0.372
1685198290636,2023-05-27T17:38:10.636,2.220,0.175,-0.914,0.366
