epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685389583848,2023-05-29T22:46:23.848,0.000,-5.671,2.439,-8.232
1685389583868,2023-05-29T22:46:23.868,0.020,-6.524,2.744,-7.988
1685389583888,2023-05-29T22:46:23.888,0.040,-7.927,3.659,-7.195
1685389583908,2023-05-29T22:46:23.908,0.060,-9.573,1.402,-5.854
1685389583928,2023-05-29T22:46:23.928,0.080,-10.671,3.476,-4.512
1685389583948,2023-05-29T22:46:23.948,0.100,-12.378,4.451,-2.927
1685389583968,2023-05-29T22:46:23.968,0.120,-14.756,9.085,-4.146
1685389583988,2023-05-29T22:46:23.988,0.140,-19.085,17.195,-5.122
1685389584008,2023-05-29T22:46:24.008,0.160,-19.939,13.476,-3.537
1685389584028,2023-05-29T22:46:24.028,0.180,-17.134,13.780,-2.805
1685389584048,2023-05-29T22:46:24.048,0.200,-15.244,16.951,-4.390
1685389584068,2023-05-29T22:46:24.068,0.220,-11.890,13.537,-3.537
1685389584088,2023-05-29T22:46:24.088,0.240,-8.232,5.549,-1.646
1685389584108,2023-05-29T22:46:24.108,0.260,-5.793,4.390,-1.951
1685389584128,2023-05-29T22:46:24.128,0.280,-3.841,4.817,-2.256
1685389584148,2023-05-29T22:46:24.148,0.300,-1.159,3.598,-2.256
1685389584168,2023-05-29T22:46:24.168,0.320,2.378,1.280,-2.378
1685389584188,2023-05-29T22:46:24.188,0.340,4.756,3.963,-2.134
1685389584208,2023-05-29T22:46:24.208,0.360,5.549,5.915,-2.378
1685389584228,2023-05-29T22:46:24.228,0.380,5.976,5.976,-3.476
1685389584248,2023-05-29T22:46:24.248,0.400,7.500,10.854,-5.427
1685389584268,2023-05-29T22:46:24.268,0.420,10.061,13.720,-5.976
1685389584288,2023-05-29T22:46:24.288,0.440,11.524,14.207,-6.463
1685389584308,2023-05-29T22:46:24.308,0.460,13.171,16.646,-7.256
1685389584328,2023-05-29T22:46:24.328,0.480,15.427,16.890,-8.537
1685389584348,2023-05-29T22:46:24.348,0.500,17.622,14.207,-9.939
1685389584368,2023-05-29T22:46:24.368,0.520,19.207,13.963,-11.037
1685389584388,2023-05-29T22:46:24.388,0.540,20.244,15.305,-11.829
1685389584408,2023-05-29T22:46:24.408,0.560,21.524,15.793,-13.354
1685389584428,2023-05-29T22:46:24.428,0.580,23.537,15.366,-15.671
1685389584448,2023-05-29T22:46:24.448,0.600,25.976,15.122,-17.439
1685389584468,2023-05-29T22:46:24.468,0.620,27.622,14.695,-18.598
1685389584488,2023-05-29T22:46:24.488,0.640,28.232,13.537,-19.512
1685389584508,2023-05-29T22:46:24.508,0.660,28.476,12.317,-19.695
1685389584528,2023-05-29T22:46:24.528,0.680,28.963,7.683,-19.329
1685389584548,2023-05-29T22:46:24.548,0.700,29.390,4.634,-19.878
1685389584568,2023-05-29T22:46:24.568,0.720,29.451,4.939,-20.244
1685389584588,2023-05-29T22:46:24.588,0.740,30.244,5.427,-18.415
1685389584608,2023-05-29T22:46:24.608,0.760,30.183,7.927,-16.524
1685389584628,2023-05-29T22:46:24.628,0.780,29.756,8.780,-14.451
1685389584648,2023-05-29T22:46:24.648,0.800,30.366,5.183,-12.622
