epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685390153928,2023-05-29T22:55:53.928,0.000,-0.112,-0.833,0.530
1685390153948,2023-05-29T22:55:53.948,0.020,-0.093,-0.847,0.530
1685390153968,2023-05-29T22:55:53.968,0.040,-0.096,-0.842,0.512
1685390153988,2023-05-29T22:55:53.988,0.060,-0.092,-0.833,0.500
1685390154008,2023-05-29T22:55:54.008,0.080,-0.079,-0.829,0.506
1685390154028,2023-05-29T22:55:54.028,0.100,-0.097,-0.817,0.515
1685390154048,2023-05-29T22:55:54.048,0.120,-0.136,-0.805,0.513
1685390154068,2023-05-29T22:55:54.068,0.140,-0.142,-0.793,0.508
1685390154088,2023-05-29T22:55:54.088,0.160,-0.123,-0.779,0.513
1685390154108,2023-05-29T22:55:54.108,0.180,-0.156,-0.759,0.521
1685390154128,2023-05-29T22:55:54.128,0.200,-0.199,-0.743,0.522
1685390154148,2023-05-29T22:55:54.148,0.220,-0.233,-0.731,0.520
1685390154168,2023-05-29T22:55:54.168,0.240,-0.250,-0.717,0.518
1685390154188,2023-05-29T22:55:54.188,0.260,-0.246,-0.701,0.521
1685390154208,2023-05-29T22:55:54.208,0.280,-0.267,-0.703,0.535
1685390154228,2023-05-29T22:55:54.228,0.300,-0.313,-0.708,0.546
1685390154248,2023-05-29T22:55:54.248,0.320,-0.334,-0.708,0.550
1685390154268,2023-05-29T22:55:54.268,0.340,-0.318,-0.714,0.549
1685390154288,2023-05-29T22:55:54.288,0.360,-0.305,-0.722,0.549
1685390154308,2023-05-29T22:55:54.308,0.380,-0.330,-0.724,0.538
1685390154328,2023-05-29T22:55:54.328,0.400,-0.331,-0.721,0.532
1685390154348,2023-05-29T22:55:54.348,0.420,-0.310,-0.705,0.540
1685390154368,2023-05-29T22:55:54.368,0.440,-0.279,-0.693,0.543
1685390154388,2023-05-29T22:55:54.388,0.460,-0.287,-0.704,0.553
1685390154408,2023-05-29T22:55:54.408,0.480,-0.303,-0.707,0.564
1685390154428,2023-05-29T22:55:54.428,0.500,-0.325,-0.702,0.572
1685390154448,2023-05-29T22:55:54.448,0.520,-0.335,-0.693,0.586
1685390154468,2023-05-29T22:55:54.468,0.540,-0.324,-0.684,0.597
1685390154488,2023-05-29T22:55:54.488,0.560,-0.349,-0.689,0.606
1685390154508,2023-05-29T22:55:54.508,0.580,-0.364,-0.707,0.626
1685390154528,2023-05-29T22:55:54.528,0.600,-0.353,-0.714,0.649
1685390154548,2023-05-29T22:55:54.548,0.620,-0.358,-0.713,0.662
1685390154568,2023-05-29T22:55:54.568,0.640,-0.356,-0.717,0.673
1685390154588,2023-05-29T22:55:54.588,0.660,-0.340,-0.729,0.700
1685390154608,2023-05-29T22:55:54.608,0.680,-0.311,-0.744,0.718
1685390154628,2023-05-29T22:55:54.628,0.700,-0.296,-0.748,0.721
1685390154648,2023-05-29T22:55:54.648,0.720,-0.276,-0.745,0.717
1685390154668,2023-05-29T22:55:54.668,0.740,-0.253,-0.751,0.720
1685390154688,2023-05-29T22:55:54.688,0.760,-0.228,-0.764,0.729
1685390154708,2023-05-29T22:55:54.708,0.780,-0.227,-0.771,0.724
1685390154728,2023-05-29T22:55:54.728,0.800,-0.222,-0.777,0.720
1685390154748,2023-05-29T22:55:54.748,0.820,-0.204,-0.788,0.709
1685390154768,2023-05-29T22:55:54.768,0.840,-0.180,-0.811,0.687
1685390154788,2023-05-29T22:55:54.788,0.860,-0.173,-0.832,0.659
1685390154808,2023-05-29T22:55:54.808,0.880,-0.173,-0.844,0.653
1685390154828,2023-05-29T22:55:54.828,0.900,-0.185,-0.829,0.658
1685390154848,2023-05-29T22:55:54.848,0.920,-0.181,-0.820,0.674
1685390154868,2023-05-29T22:55:54.868,0.940,-0.147,-0.813,0.692
1685390154888,2023-05-29T22:55:54.888,0.960,-0.136,-0.804,0.701
1685390154908,2023-05-29T22:55:54.908,0.980,-0.142,-0.791,0.692
1685390154928,2023-05-29T22:55:54.928,1.000,-0.139,-0.789,0.675
1685390154948,2023-05-29T22:55:54.948,1.020,-0.143,-0.787,0.650
1685390154968,2023-05-29T22:55:54.968,1.040,-0.153,-0.783,0.617
1685390154988,2023-05-29T22:55:54.988,1.060,-0.161,-0.786,0.591
1685390155008,2023-05-29T22:55:55.008,1.080,-0.164,-0.786,0.588
1685390155028,2023-05-29T22:55:55.028,1.100,-0.169,-0.779,0.592
1685390155048,2023-05-29T22:55:55.048,1.120,-0.171,-0.781,0.590
1685390155068,2023-05-29T22:55:55.068,1.140,-0.166,-0.776,0.585
1685390155088,2023-05-29T22:55:55.088,1.160,-0.175,-0.771,0.568
1685390155108,2023-05-29T22:55:55.108,1.180,-0.211,-0.767,0.564
1685390155128,2023-05-29T22:55:55.128,1.200,-0.216,-0.759,0.560
1685390155148,2023-05-29T22:55:55.148,1.220,-0.240,-0.750,0.552
1685390155168,2023-05-29T22:55:55.168,1.240,-0.280,-0.748,0.544
1685390155188,2023-05-29T22:55:55.188,1.260,-0.295,-0.747,0.529
1685390155208,2023-05-29T22:55:55.208,1.280,-0.315,-0.744,0.526
1685390155228,2023-05-29T22:55:55.228,1.300,-0.352,-0.742,0.516
1685390155248,2023-05-29T22:55:55.248,1.320,-0.361,-0.732,0.511
1685390155268,2023-05-29T22:55:55.268,1.340,-0.372,-0.720,0.516
1685390155288,2023-05-29T22:55:55.288,1.360,-0.394,-0.715,0.522
1685390155308,2023-05-29T22:55:55.308,1.380,-0.418,-0.711,0.525
1685390155328,2023-05-29T22:55:55.328,1.400,-0.426,-0.712,0.525
1685390155348,2023-05-29T22:55:55.348,1.420,-0.422,-0.711,0.523
1685390155368,2023-05-29T22:55:55.368,1.440,-0.434,-0.706,0.513
1685390155388,2023-05-29T22:55:55.388,1.460,-0.441,-0.711,0.498
1685390155408,2023-05-29T22:55:55.408,1.480,-0.445,-0.705,0.484
1685390155428,2023-05-29T22:55:55.428,1.500,-0.447,-0.703,0.465
1685390155448,2023-05-29T22:55:55.448,1.520,-0.438,-0.708,0.451
1685390155468,2023-05-29T22:55:55.468,1.540,-0.421,-0.705,0.440
1685390155488,2023-05-29T22:55:55.488,1.560,-0.435,-0.698,0.428
1685390155508,2023-05-29T22:55:55.508,1.580,-0.445,-0.692,0.414
1685390155528,2023-05-29T22:55:55.528,1.600,-0.450,-0.695,0.398
1685390155548,2023-05-29T22:55:55.548,1.620,-0.446,-0.698,0.389
1685390155568,2023-05-29T22:55:55.568,1.640,-0.446,-0.710,0.383
1685390155588,2023-05-29T22:55:55.588,1.660,-0.438,-0.724,0.383
1685390155608,2023-05-29T22:55:55.608,1.680,-0.441,-0.728,0.384
1685390155628,2023-05-29T22:55:55.628,1.700,-0.444,-0.729,0.385
1685390155648,2023-05-29T22:55:55.648,1.720,-0.458,-0.740,0.399
1685390155668,2023-05-29T22:55:55.668,1.740,-0.463,-0.749,0.408
1685390155688,2023-05-29T22:55:55.688,1.760,-0.472,-0.752,0.406
1685390155708,2023-05-29T22:55:55.708,1.780,-0.451,-0.753,0.413
1685390155728,2023-05-29T22:55:55.728,1.800,-0.445,-0.752,0.423
1685390155748,2023-05-29T22:55:55.748,1.820,-0.456,-0.746,0.431
1685390155768,2023-05-29T22:55:55.768,1.840,-0.448,-0.747,0.437
1685390155788,2023-05-29T22:55:55.788,1.860,-0.443,-0.757,0.451
1685390155808,2023-05-29T22:55:55.808,1.880,-0.478,-0.756,0.451
1685390155828,2023-05-29T22:55:55.828,1.900,-0.479,-0.763,0.451
1685390155848,2023-05-29T22:55:55.848,1.920,-0.452,-0.776,0.462
1685390155868,2023-05-29T22:55:55.868,1.940,-0.447,-0.787,0.467
1685390155888,2023-05-29T22:55:55.888,1.960,-0.427,-0.786,0.471
1685390155908,2023-05-29T22:55:55.908,1.980,-0.404,-0.784,0.471
1685390155928,2023-05-29T22:55:55.928,2.000,-0.404,-0.785,0.474
1685390155948,2023-05-29T22:55:55.948,2.020,-0.386,-0.792,0.477
1685390155968,2023-05-29T22:55:55.968,2.040,-0.383,-0.809,0.465
1685390155988,2023-05-29T22:55:55.988,2.060,-0.375,-0.824,0.456
1685390156008,2023-05-29T22:55:56.008,2.080,-0.346,-0.833,0.452
1685390156028,2023-05-29T22:55:56.028,2.100,-0.330,-0.836,0.449
1685390156048,2023-05-29T22:55:56.048,2.120,-0.322,-0.845,0.445
1685390156068,2023-05-29T22:55:56.068,2.140,-0.303,-0.852,0.442
1685390156088,2023-05-29T22:55:56.088,2.160,-0.281,-0.862,0.433
1685390156108,2023-05-29T22:55:56.108,2.180,-0.248,-0.869,0.425
1685390156128,2023-05-29T22:55:56.128,2.200,-0.236,-0.870,0.418
1685390156148,2023-05-29T22:55:56.148,2.220,-0.230,-0.875,0.410
1685390156168,2023-05-29T22:55:56.168,2.240,-0.229,-0.878,0.400
1685390156188,2023-05-29T22:55:56.188,2.260,-0.222,-0.881,0.398
1685390156208,2023-05-29T22:55:56.208,2.280,-0.222,-0.877,0.392
1685390156228,2023-05-29T22:55:56.228,2.300,-0.215,-0.875,0.384
1685390156248,2023-05-29T22:55:56.248,2.320,-0.222,-0.873,0.394
1685390156268,2023-05-29T22:55:56.268,2.340,-0.246,-0.862,0.396
1685390156288,2023-05-29T22:55:56.288,2.360,-0.252,-0.863,0.395
1685390156308,2023-05-29T22:55:56.308,2.380,-0.255,-0.874,0.401
