epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685383504244,2023-05-29T21:05:04.244,0.000,-0.732,-0.549,-1.098
1685383504264,2023-05-29T21:05:04.264,0.020,-0.610,-0.671,-1.463
1685383504284,2023-05-29T21:05:04.284,0.040,-0.915,-0.305,-1.463
1685383504304,2023-05-29T21:05:04.304,0.060,-1.159,-0.488,-0.671
1685383504324,2023-05-29T21:05:04.324,0.080,-1.402,-0.366,-0.244
1685383504344,2023-05-29T21:05:04.344,0.100,-1.585,0.061,-0.793
1685383504364,2023-05-29T21:05:04.364,0.120,-2.256,0.366,-1.768
1685383504384,2023-05-29T21:05:04.384,0.140,-2.866,-0.488,-2.012
1685383504404,2023-05-29T21:05:04.404,0.160,-3.415,-0.793,-2.622
1685383504424,2023-05-29T21:05:04.424,0.180,-4.756,-0.610,-3.537
1685383504444,2023-05-29T21:05:04.444,0.200,-5.427,-1.280,-4.024
1685383504464,2023-05-29T21:05:04.464,0.220,-3.293,-0.488,-4.878
1685383504484,2023-05-29T21:05:04.484,0.240,-1.524,6.768,-4.146
1685383504504,2023-05-29T21:05:04.504,0.260,-2.805,10.000,-3.537
1685383504524,2023-05-29T21:05:04.524,0.280,-3.963,5.000,-4.451
1685383504544,2023-05-29T21:05:04.544,0.300,-5.427,0.671,-5.305
1685383504564,2023-05-29T21:05:04.564,0.320,-7.256,-2.256,-3.720
1685383504584,2023-05-29T21:05:04.584,0.340,-7.927,-5.366,-2.256
1685383504604,2023-05-29T21:05:04.604,0.360,-8.720,3.476,-1.341
1685383504624,2023-05-29T21:05:04.624,0.380,-7.195,27.805,1.524
1685383504644,2023-05-29T21:05:04.644,0.400,-2.744,48.049,10.305
1685383504664,2023-05-29T21:05:04.664,0.420,0.122,39.451,21.402
1685383504684,2023-05-29T21:05:04.684,0.440,-0.549,8.293,28.720
1685383504704,2023-05-29T21:05:04.704,0.460,3.780,-16.646,35.183
1685383504724,2023-05-29T21:05:04.724,0.480,11.463,-24.390,42.866
1685383504744,2023-05-29T21:05:04.744,0.500,19.939,-15.305,48.354
1685383504764,2023-05-29T21:05:04.764,0.520,27.744,-7.317,55.976
1685383504784,2023-05-29T21:05:04.784,0.540,32.500,-5.671,62.866
1685383504804,2023-05-29T21:05:04.804,0.560,37.012,-4.390,67.073
1685383504824,2023-05-29T21:05:04.824,0.580,43.110,-1.707,69.329
1685383504844,2023-05-29T21:05:04.844,0.600,51.402,1.037,67.927
1685383504864,2023-05-29T21:05:04.864,0.620,57.927,-3.110,63.720
1685383504884,2023-05-29T21:05:04.884,0.640,60.732,-5.793,55.915
1685383504904,2023-05-29T21:05:04.904,0.660,63.598,-2.378,48.232
1685383504924,2023-05-29T21:05:04.924,0.680,64.573,-4.024,36.707
1685383504944,2023-05-29T21:05:04.944,0.700,63.293,-7.561,20.549
1685383504964,2023-05-29T21:05:04.964,0.720,61.159,10.976,2.256
1685383504984,2023-05-29T21:05:04.984,0.740,61.951,35.427,-16.646
1685383505004,2023-05-29T21:05:05.004,0.760,52.927,31.402,-31.463
1685383505024,2023-05-29T21:05:05.024,0.780,40.915,27.012,-46.098
1685383505044,2023-05-29T21:05:05.044,0.800,37.012,37.256,-61.646
1685383505064,2023-05-29T21:05:05.064,0.820,29.634,40.427,-73.720
1685383505084,2023-05-29T21:05:05.084,0.840,15.427,34.390,-68.415
1685383505104,2023-05-29T21:05:05.104,0.860,11.280,38.902,-97.500
1685383505124,2023-05-29T21:05:05.124,0.880,3.659,35.915,-114.146
1685383505144,2023-05-29T21:05:05.144,0.900,-9.512,29.939,-112.683
1685383505164,2023-05-29T21:05:05.164,0.920,-18.171,36.890,-107.683
1685383505184,2023-05-29T21:05:05.184,0.940,-25.915,39.024,-95.671
1685383505204,2023-05-29T21:05:05.204,0.960,-33.780,27.195,-75.488
1685383505224,2023-05-29T21:05:05.224,0.980,-39.695,13.293,-50.732
1685383505244,2023-05-29T21:05:05.244,1.000,-45.244,3.537,-28.963
1685383505264,2023-05-29T21:05:05.264,1.020,-47.866,-0.061,-12.561
1685383505284,2023-05-29T21:05:05.284,1.040,-48.110,-3.720,3.354
1685383505304,2023-05-29T21:05:05.304,1.060,-46.220,-2.927,17.744
1685383505324,2023-05-29T21:05:05.324,1.080,-40.305,0.732,30.244
1685383505344,2023-05-29T21:05:05.344,1.100,-34.329,2.744,38.537
1685383505364,2023-05-29T21:05:05.364,1.120,-29.878,7.073,42.134
1685383505384,2023-05-29T21:05:05.384,1.140,-29.939,3.659,47.561
1685383505404,2023-05-29T21:05:05.404,1.160,-33.171,-6.220,55.244
1685383505424,2023-05-29T21:05:05.424,1.180,-33.049,-5.854,59.695
1685383505444,2023-05-29T21:05:05.444,1.200,-31.951,0.854,57.988
1685383505464,2023-05-29T21:05:05.464,1.220,-34.085,9.085,48.902
1685383505484,2023-05-29T21:05:05.484,1.240,-37.195,6.341,45.976
1685383505504,2023-05-29T21:05:05.504,1.260,-41.646,-3.720,41.707
1685383505524,2023-05-29T21:05:05.524,1.280,-44.390,-7.256,38.780
1685383505544,2023-05-29T21:05:05.544,1.300,-45.244,-4.573,39.329
1685383505564,2023-05-29T21:05:05.564,1.320,-45.183,-6.402,43.476
1685383505584,2023-05-29T21:05:05.584,1.340,-44.756,-10.976,50.305
1685383505604,2023-05-29T21:05:05.604,1.360,-41.402,-7.073,54.329
1685383505624,2023-05-29T21:05:05.624,1.380,-36.098,-2.561,53.780
1685383505644,2023-05-29T21:05:05.644,1.400,-31.098,-4.329,53.232
1685383505664,2023-05-29T21:05:05.664,1.420,-26.037,-2.256,52.073
1685383505684,2023-05-29T21:05:05.684,1.440,-19.878,4.451,52.256
