epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685393904549,2023-05-29T23:58:24.549,0.000,-0.173,-0.798,0.567
1685393904569,2023-05-29T23:58:24.569,0.020,-0.161,-0.812,0.556
1685393904589,2023-05-29T23:58:24.589,0.040,-0.130,-0.817,0.537
1685393904609,2023-05-29T23:58:24.609,0.060,-0.093,-0.815,0.528
1685393904629,2023-05-29T23:58:24.629,0.080,-0.088,-0.818,0.523
1685393904649,2023-05-29T23:58:24.649,0.100,-0.101,-0.817,0.523
1685393904669,2023-05-29T23:58:24.669,0.120,-0.111,-0.816,0.521
1685393904689,2023-05-29T23:58:24.689,0.140,-0.121,-0.812,0.517
1685393904709,2023-05-29T23:58:24.709,0.160,-0.106,-0.809,0.514
1685393904729,2023-05-29T23:58:24.729,0.180,-0.127,-0.797,0.521
1685393904749,2023-05-29T23:58:24.749,0.200,-0.172,-0.794,0.530
1685393904769,2023-05-29T23:58:24.769,0.220,-0.186,-0.788,0.528
1685393904789,2023-05-29T23:58:24.789,0.240,-0.198,-0.781,0.513
1685393904809,2023-05-29T23:58:24.809,0.260,-0.204,-0.778,0.511
1685393904829,2023-05-29T23:58:24.829,0.280,-0.198,-0.760,0.525
1685393904849,2023-05-29T23:58:24.849,0.300,-0.206,-0.744,0.525
1685393904869,2023-05-29T23:58:24.869,0.320,-0.229,-0.731,0.522
1685393904889,2023-05-29T23:58:24.889,0.340,-0.206,-0.703,0.537
1685393904909,2023-05-29T23:58:24.909,0.360,-0.167,-0.667,0.546
1685393904929,2023-05-29T23:58:24.929,0.380,-0.224,-0.661,0.548
1685393904949,2023-05-29T23:58:24.949,0.400,-0.291,-0.673,0.543
1685393904969,2023-05-29T23:58:24.969,0.420,-0.315,-0.673,0.557
1685393904989,2023-05-29T23:58:24.989,0.440,-0.349,-0.673,0.563
1685393905009,2023-05-29T23:58:25.009,0.460,-0.383,-0.666,0.549
1685393905029,2023-05-29T23:58:25.029,0.480,-0.397,-0.659,0.535
1685393905049,2023-05-29T23:58:25.049,0.500,-0.417,-0.657,0.539
1685393905069,2023-05-29T23:58:25.069,0.520,-0.415,-0.658,0.563
1685393905089,2023-05-29T23:58:25.089,0.540,-0.400,-0.646,0.591
1685393905109,2023-05-29T23:58:25.109,0.560,-0.407,-0.631,0.615
1685393905129,2023-05-29T23:58:25.129,0.580,-0.416,-0.636,0.627
1685393905149,2023-05-29T23:58:25.149,0.600,-0.416,-0.648,0.639
1685393905169,2023-05-29T23:58:25.169,0.620,-0.430,-0.655,0.647
1685393905189,2023-05-29T23:58:25.189,0.640,-0.442,-0.667,0.651
1685393905209,2023-05-29T23:58:25.209,0.660,-0.438,-0.673,0.657
1685393905229,2023-05-29T23:58:25.229,0.680,-0.438,-0.667,0.654
1685393905249,2023-05-29T23:58:25.249,0.700,-0.437,-0.671,0.648
1685393905269,2023-05-29T23:58:25.269,0.720,-0.421,-0.682,0.662
1685393905289,2023-05-29T23:58:25.289,0.740,-0.416,-0.695,0.680
1685393905309,2023-05-29T23:58:25.309,0.760,-0.399,-0.692,0.689
1685393905329,2023-05-29T23:58:25.329,0.780,-0.380,-0.682,0.699
1685393905349,2023-05-29T23:58:25.349,0.800,-0.374,-0.683,0.711
1685393905369,2023-05-29T23:58:25.369,0.820,-0.351,-0.686,0.711
1685393905389,2023-05-29T23:58:25.389,0.840,-0.318,-0.693,0.721
1685393905409,2023-05-29T23:58:25.409,0.860,-0.291,-0.698,0.724
1685393905429,2023-05-29T23:58:25.429,0.880,-0.271,-0.700,0.729
1685393905449,2023-05-29T23:58:25.449,0.900,-0.255,-0.701,0.742
1685393905469,2023-05-29T23:58:25.469,0.920,-0.240,-0.701,0.737
