epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685394175102,2023-05-30T00:02:55.102,0.000,-12.378,8.841,-3.963
1685394175122,2023-05-30T00:02:55.122,0.020,-12.805,8.598,-3.537
1685394175142,2023-05-30T00:02:55.142,0.040,-14.451,7.317,-2.256
1685394175162,2023-05-30T00:02:55.162,0.060,-14.573,6.951,-0.488
1685394175182,2023-05-30T00:02:55.182,0.080,-14.207,7.744,-0.793
1685394175202,2023-05-30T00:02:55.202,0.100,-14.329,9.268,-1.585
1685394175222,2023-05-30T00:02:55.222,0.120,-15.732,11.402,-0.427
1685394175242,2023-05-30T00:02:55.242,0.140,-15.671,14.329,0.366
1685394175262,2023-05-30T00:02:55.262,0.160,-12.134,13.963,0.854
1685394175282,2023-05-30T00:02:55.282,0.180,-9.024,12.683,0.671
1685394175302,2023-05-30T00:02:55.302,0.200,-6.402,12.134,1.037
1685394175322,2023-05-30T00:02:55.322,0.220,-4.756,12.561,1.220
1685394175342,2023-05-30T00:02:55.342,0.240,-4.451,10.549,0.488
1685394175362,2023-05-30T00:02:55.362,0.260,-3.720,9.085,-1.220
1685394175382,2023-05-30T00:02:55.382,0.280,-2.683,5.244,-2.805
1685394175402,2023-05-30T00:02:55.402,0.300,-2.256,4.512,-4.817
1685394175422,2023-05-30T00:02:55.422,0.320,-2.866,4.146,-6.220
1685394175442,2023-05-30T00:02:55.442,0.340,-3.537,4.207,-6.890
1685394175462,2023-05-30T00:02:55.462,0.360,-3.537,5.549,-7.256
1685394175482,2023-05-30T00:02:55.482,0.380,-3.537,3.780,-7.195
1685394175502,2023-05-30T00:02:55.502,0.400,-2.256,0.793,-6.463
1685394175522,2023-05-30T00:02:55.522,0.420,-0.976,0.244,-5.549
1685394175542,2023-05-30T00:02:55.542,0.440,-1.098,1.829,-4.268
1685394175562,2023-05-30T00:02:55.562,0.460,-1.890,1.585,-1.829
1685394175582,2023-05-30T00:02:55.582,0.480,-3.110,1.341,0.183
1685394175602,2023-05-30T00:02:55.602,0.500,-4.634,3.720,1.098
1685394175622,2023-05-30T00:02:55.622,0.520,-5.122,3.293,2.317
1685394175642,2023-05-30T00:02:55.642,0.540,-4.451,1.890,3.537
1685394175662,2023-05-30T00:02:55.662,0.560,-4.451,1.280,4.512
1685394175682,2023-05-30T00:02:55.682,0.580,-4.390,-1.159,6.159
1685394175702,2023-05-30T00:02:55.702,0.600,-3.171,-4.451,7.561
1685394175722,2023-05-30T00:02:55.722,0.620,-3.171,-9.085,8.598
1685394175742,2023-05-30T00:02:55.742,0.640,-2.988,-12.378,9.939
1685394175762,2023-05-30T00:02:55.762,0.660,-1.829,-11.646,11.341
1685394175782,2023-05-30T00:02:55.782,0.680,-0.427,-8.780,13.110
1685394175802,2023-05-30T00:02:55.802,0.700,0.732,-7.622,14.817
1685394175822,2023-05-30T00:02:55.822,0.720,2.988,-6.402,16.585
1685394175842,2023-05-30T00:02:55.842,0.740,6.037,-4.207,19.390
1685394175862,2023-05-30T00:02:55.862,0.760,8.780,-1.220,21.768
1685394175882,2023-05-30T00:02:55.882,0.780,12.439,3.598,23.293
1685394175902,2023-05-30T00:02:55.902,0.800,17.012,6.524,24.085
1685394175922,2023-05-30T00:02:55.922,0.820,20.976,4.512,23.293
1685394175942,2023-05-30T00:02:55.942,0.840,23.110,-1.951,21.280
1685394175962,2023-05-30T00:02:55.962,0.860,23.902,-11.524,20.244
1685394175982,2023-05-30T00:02:55.982,0.880,24.939,-22.134,19.085
1685394176002,2023-05-30T00:02:56.002,0.900,25.000,-33.720,16.280
1685394176022,2023-05-30T00:02:56.022,0.920,25.061,-36.280,10.610
1685394176042,2023-05-30T00:02:56.042,0.940,25.244,-18.598,4.817
