epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685471414825,2023-05-30T21:30:14.825,0.000,-0.008,-0.711,0.634
1685471414845,2023-05-30T21:30:14.845,0.020,-0.009,-0.715,0.658
1685471414865,2023-05-30T21:30:14.865,0.040,-0.021,-0.717,0.654
1685471414885,2023-05-30T21:30:14.885,0.060,-0.037,-0.707,0.633
1685471414905,2023-05-30T21:30:14.905,0.080,-0.045,-0.706,0.620
1685471414925,2023-05-30T21:30:14.925,0.100,-0.057,-0.685,0.621
1685471414945,2023-05-30T21:30:14.945,0.120,-0.062,-0.669,0.630
1685471414965,2023-05-30T21:30:14.965,0.140,-0.084,-0.658,0.617
1685471414985,2023-05-30T21:30:14.985,0.160,-0.115,-0.651,0.616
1685471415005,2023-05-30T21:30:15.005,0.180,-0.133,-0.646,0.634
1685471415025,2023-05-30T21:30:15.025,0.200,-0.153,-0.637,0.641
1685471415045,2023-05-30T21:30:15.045,0.220,-0.167,-0.634,0.644
1685471415065,2023-05-30T21:30:15.065,0.240,-0.204,-0.632,0.656
1685471415085,2023-05-30T21:30:15.085,0.260,-0.229,-0.637,0.665
1685471415105,2023-05-30T21:30:15.105,0.280,-0.238,-0.639,0.674
1685471415125,2023-05-30T21:30:15.125,0.300,-0.238,-0.631,0.687
1685471415145,2023-05-30T21:30:15.145,0.320,-0.254,-0.613,0.678
1685471415165,2023-05-30T21:30:15.165,0.340,-0.245,-0.606,0.687
1685471415185,2023-05-30T21:30:15.185,0.360,-0.237,-0.597,0.700
1685471415205,2023-05-30T21:30:15.205,0.380,-0.260,-0.586,0.701
1685471415225,2023-05-30T21:30:15.225,0.400,-0.258,-0.591,0.712
1685471415245,2023-05-30T21:30:15.245,0.420,-0.249,-0.594,0.737
1685471415265,2023-05-30T21:30:15.265,0.440,-0.254,-0.593,0.760
1685471415285,2023-05-30T21:30:15.285,0.460,-0.258,-0.602,0.778
1685471415305,2023-05-30T21:30:15.305,0.480,-0.239,-0.620,0.811
1685471415325,2023-05-30T21:30:15.325,0.500,-0.246,-0.644,0.852
1685471415345,2023-05-30T21:30:15.345,0.520,-0.239,-0.664,0.900
1685471415365,2023-05-30T21:30:15.365,0.540,-0.251,-0.665,0.920
1685471415385,2023-05-30T21:30:15.385,0.560,-0.225,-0.671,0.932
1685471415405,2023-05-30T21:30:15.405,0.580,-0.171,-0.704,0.956
1685471415425,2023-05-30T21:30:15.425,0.600,-0.153,-0.734,0.970
1685471415445,2023-05-30T21:30:15.445,0.620,-0.116,-0.734,0.954
1685471415465,2023-05-30T21:30:15.465,0.640,-0.065,-0.736,0.940
1685471415485,2023-05-30T21:30:15.485,0.660,-0.040,-0.747,0.929
1685471415505,2023-05-30T21:30:15.505,0.680,-0.024,-0.752,0.905
1685471415525,2023-05-30T21:30:15.525,0.700,0.004,-0.754,0.888
1685471415545,2023-05-30T21:30:15.545,0.720,0.020,-0.755,0.859
1685471415565,2023-05-30T21:30:15.565,0.740,0.048,-0.748,0.826
1685471415585,2023-05-30T21:30:15.585,0.760,0.056,-0.745,0.782
1685471415605,2023-05-30T21:30:15.605,0.780,0.060,-0.748,0.734
