epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685471414712,2023-05-30T21:30:14.712,0.000,-17.378,1.707,0.732
1685471414732,2023-05-30T21:30:14.732,0.020,-17.195,1.585,1.220
1685471414752,2023-05-30T21:30:14.752,0.040,-17.256,3.110,3.171
1685471414772,2023-05-30T21:30:14.772,0.060,-17.073,4.634,5.671
1685471414792,2023-05-30T21:30:14.792,0.080,-17.012,4.268,7.012
1685471414812,2023-05-30T21:30:14.812,0.100,-17.439,3.780,8.049
1685471414832,2023-05-30T21:30:14.832,0.120,-18.293,5.244,10.305
1685471414852,2023-05-30T21:30:14.852,0.140,-17.561,6.402,12.439
1685471414872,2023-05-30T21:30:14.872,0.160,-15.122,4.878,13.354
1685471414892,2023-05-30T21:30:14.892,0.180,-11.159,2.927,13.415
1685471414912,2023-05-30T21:30:14.912,0.200,-7.866,-0.366,13.659
1685471414932,2023-05-30T21:30:14.932,0.220,-5.183,-2.500,15.488
1685471414952,2023-05-30T21:30:14.952,0.240,-2.500,-1.402,17.195
1685471414972,2023-05-30T21:30:14.972,0.260,0.976,4.634,18.049
1685471414992,2023-05-30T21:30:14.992,0.280,5.610,8.537,18.537
1685471415012,2023-05-30T21:30:15.012,0.300,9.634,9.695,17.988
1685471415032,2023-05-30T21:30:15.032,0.320,13.537,13.902,16.159
1685471415052,2023-05-30T21:30:15.052,0.340,16.341,19.085,13.415
1685471415072,2023-05-30T21:30:15.072,0.360,17.439,21.463,9.329
1685471415092,2023-05-30T21:30:15.092,0.380,17.866,21.280,4.024
1685471415112,2023-05-30T21:30:15.112,0.400,17.439,20.488,-1.341
1685471415132,2023-05-30T21:30:15.132,0.420,18.049,21.951,-6.402
1685471415152,2023-05-30T21:30:15.152,0.440,20.244,22.988,-10.549
1685471415172,2023-05-30T21:30:15.172,0.460,22.866,19.268,-13.598
1685471415192,2023-05-30T21:30:15.192,0.480,25.366,16.463,-17.622
1685471415212,2023-05-30T21:30:15.212,0.500,28.780,16.037,-22.073
1685471415232,2023-05-30T21:30:15.232,0.520,32.073,14.634,-25.549
1685471415252,2023-05-30T21:30:15.252,0.540,33.841,17.866,-29.695
1685471415272,2023-05-30T21:30:15.272,0.560,34.817,22.378,-34.146
1685471415292,2023-05-30T21:30:15.292,0.580,35.244,22.805,-37.866
1685471415312,2023-05-30T21:30:15.312,0.600,35.976,23.841,-40.854
1685471415332,2023-05-30T21:30:15.332,0.620,35.549,27.927,-44.268
1685471415352,2023-05-30T21:30:15.352,0.640,32.866,33.354,-48.415
1685471415372,2023-05-30T21:30:15.372,0.660,28.171,37.988,-52.622
