epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685473175140,2023-05-30T21:59:35.140,0.000,-0.046,-0.832,0.578
1685473175160,2023-05-30T21:59:35.160,0.020,-0.043,-0.824,0.584
1685473175180,2023-05-30T21:59:35.180,0.040,-0.056,-0.804,0.579
1685473175200,2023-05-30T21:59:35.200,0.060,-0.050,-0.786,0.580
1685473175220,2023-05-30T21:59:35.220,0.080,-0.053,-0.777,0.569
1685473175240,2023-05-30T21:59:35.240,0.100,-0.065,-0.774,0.552
1685473175260,2023-05-30T21:59:35.260,0.120,-0.070,-0.778,0.528
1685473175280,2023-05-30T21:59:35.280,0.140,-0.080,-0.774,0.516
1685473175300,2023-05-30T21:59:35.300,0.160,-0.102,-0.776,0.507
1685473175320,2023-05-30T21:59:35.320,0.180,-0.102,-0.782,0.506
1685473175340,2023-05-30T21:59:35.340,0.200,-0.118,-0.768,0.494
1685473175360,2023-05-30T21:59:35.360,0.220,-0.128,-0.757,0.492
1685473175380,2023-05-30T21:59:35.380,0.240,-0.123,-0.767,0.505
1685473175400,2023-05-30T21:59:35.400,0.260,-0.133,-0.753,0.518
1685473175420,2023-05-30T21:59:35.420,0.280,-0.137,-0.733,0.519
1685473175440,2023-05-30T21:59:35.440,0.300,-0.141,-0.725,0.518
1685473175460,2023-05-30T21:59:35.460,0.320,-0.130,-0.723,0.517
1685473175480,2023-05-30T21:59:35.480,0.340,-0.125,-0.717,0.513
1685473175500,2023-05-30T21:59:35.500,0.360,-0.134,-0.727,0.513
1685473175520,2023-05-30T21:59:35.520,0.380,-0.148,-0.747,0.514
1685473175540,2023-05-30T21:59:35.540,0.400,-0.144,-0.760,0.521
1685473175560,2023-05-30T21:59:35.560,0.420,-0.125,-0.753,0.529
1685473175580,2023-05-30T21:59:35.580,0.440,-0.123,-0.738,0.530
1685473175600,2023-05-30T21:59:35.600,0.460,-0.131,-0.742,0.521
1685473175620,2023-05-30T21:59:35.620,0.480,-0.130,-0.761,0.529
1685473175640,2023-05-30T21:59:35.640,0.500,-0.124,-0.770,0.552
1685473175660,2023-05-30T21:59:35.660,0.520,-0.126,-0.751,0.558
1685473175680,2023-05-30T21:59:35.680,0.540,-0.134,-0.733,0.562
1685473175700,2023-05-30T21:59:35.700,0.560,-0.116,-0.738,0.576
1685473175720,2023-05-30T21:59:35.720,0.580,-0.098,-0.743,0.598
1685473175740,2023-05-30T21:59:35.740,0.600,-0.099,-0.722,0.622
1685473175760,2023-05-30T21:59:35.760,0.620,-0.090,-0.704,0.638
1685473175780,2023-05-30T21:59:35.780,0.640,-0.080,-0.707,0.645
1685473175800,2023-05-30T21:59:35.800,0.660,-0.083,-0.733,0.661
1685473175820,2023-05-30T21:59:35.820,0.680,-0.077,-0.724,0.678
1685473175840,2023-05-30T21:59:35.840,0.700,-0.072,-0.717,0.699
1685473175860,2023-05-30T21:59:35.860,0.720,-0.086,-0.737,0.727
1685473175880,2023-05-30T21:59:35.880,0.740,-0.086,-0.762,0.753
1685473175900,2023-05-30T21:59:35.900,0.760,-0.062,-0.771,0.778
1685473175920,2023-05-30T21:59:35.920,0.780,-0.055,-0.762,0.808
1685473175940,2023-05-30T21:59:35.940,0.800,-0.041,-0.771,0.834
1685473175960,2023-05-30T21:59:35.960,0.820,-0.036,-0.781,0.852
1685473175980,2023-05-30T21:59:35.980,0.840,-0.029,-0.787,0.876
1685473176000,2023-05-30T21:59:36.000,0.860,-0.014,-0.798,0.900
1685473176020,2023-05-30T21:59:36.020,0.880,-0.014,-0.815,0.907
1685473176040,2023-05-30T21:59:36.040,0.900,-0.023,-0.820,0.906
1685473176060,2023-05-30T21:59:36.060,0.920,-0.042,-0.820,0.895
1685473176080,2023-05-30T21:59:36.080,0.940,-0.065,-0.817,0.885
1685473176100,2023-05-30T21:59:36.100,0.960,-0.084,-0.810,0.875
1685473176120,2023-05-30T21:59:36.120,0.980,-0.098,-0.793,0.850
1685473176140,2023-05-30T21:59:36.140,1.000,-0.111,-0.782,0.833
1685473176160,2023-05-30T21:59:36.160,1.020,-0.097,-0.774,0.813
1685473176180,2023-05-30T21:59:36.180,1.040,-0.114,-0.767,0.789
1685473176200,2023-05-30T21:59:36.200,1.060,-0.133,-0.765,0.779
1685473176220,2023-05-30T21:59:36.220,1.080,-0.124,-0.754,0.751
1685473176240,2023-05-30T21:59:36.240,1.100,-0.134,-0.748,0.723
1685473176260,2023-05-30T21:59:36.260,1.120,-0.157,-0.738,0.710
1685473176280,2023-05-30T21:59:36.280,1.140,-0.173,-0.721,0.690
1685473176300,2023-05-30T21:59:36.300,1.160,-0.170,-0.717,0.675
1685473176320,2023-05-30T21:59:36.320,1.180,-0.187,-0.707,0.658
1685473176340,2023-05-30T21:59:36.340,1.200,-0.176,-0.695,0.644
1685473176360,2023-05-30T21:59:36.360,1.220,-0.189,-0.687,0.624
1685473176380,2023-05-30T21:59:36.380,1.240,-0.207,-0.679,0.612
1685473176400,2023-05-30T21:59:36.400,1.260,-0.216,-0.663,0.586
1685473176420,2023-05-30T21:59:36.420,1.280,-0.205,-0.657,0.558
1685473176440,2023-05-30T21:59:36.440,1.300,-0.192,-0.663,0.531
1685473176460,2023-05-30T21:59:36.460,1.320,-0.185,-0.670,0.508
1685473176480,2023-05-30T21:59:36.480,1.340,-0.179,-0.676,0.486
1685473176500,2023-05-30T21:59:36.500,1.360,-0.175,-0.688,0.458
1685473176520,2023-05-30T21:59:36.520,1.380,-0.163,-0.709,0.432
1685473176540,2023-05-30T21:59:36.540,1.400,-0.160,-0.713,0.415
1685473176560,2023-05-30T21:59:36.560,1.420,-0.155,-0.712,0.390
1685473176580,2023-05-30T21:59:36.580,1.440,-0.161,-0.733,0.364
1685473176600,2023-05-30T21:59:36.600,1.460,-0.159,-0.747,0.363
1685473176620,2023-05-30T21:59:36.620,1.480,-0.141,-0.743,0.360
1685473176640,2023-05-30T21:59:36.640,1.500,-0.130,-0.746,0.367
1685473176660,2023-05-30T21:59:36.660,1.520,-0.137,-0.761,0.369
1685473176680,2023-05-30T21:59:36.680,1.540,-0.108,-0.772,0.388
1685473176700,2023-05-30T21:59:36.700,1.560,-0.094,-0.787,0.392
1685473176720,2023-05-30T21:59:36.720,1.580,-0.080,-0.785,0.388
1685473176740,2023-05-30T21:59:36.740,1.600,-0.068,-0.786,0.391
1685473176760,2023-05-30T21:59:36.760,1.620,-0.066,-0.801,0.393
1685473176780,2023-05-30T21:59:36.780,1.640,-0.045,-0.811,0.382
1685473176800,2023-05-30T21:59:36.800,1.660,-0.033,-0.809,0.387
1685473176820,2023-05-30T21:59:36.820,1.680,-0.043,-0.808,0.406
1685473176840,2023-05-30T21:59:36.840,1.700,-0.061,-0.801,0.409
1685473176860,2023-05-30T21:59:36.860,1.720,-0.036,-0.814,0.420
1685473176880,2023-05-30T21:59:36.880,1.740,-0.015,-0.820,0.454
1685473176900,2023-05-30T21:59:36.900,1.760,-0.008,-0.805,0.470
1685473176920,2023-05-30T21:59:36.920,1.780,0.005,-0.805,0.477
1685473176940,2023-05-30T21:59:36.940,1.800,0.017,-0.807,0.504
1685473176960,2023-05-30T21:59:36.960,1.820,0.004,-0.805,0.540
1685473176980,2023-05-30T21:59:36.980,1.840,0.000,-0.802,0.562
1685473177000,2023-05-30T21:59:37.000,1.860,0.025,-0.785,0.574
1685473177020,2023-05-30T21:59:37.020,1.880,0.033,-0.785,0.580
1685473177040,2023-05-30T21:59:37.040,1.900,0.050,-0.789,0.594
1685473177060,2023-05-30T21:59:37.060,1.920,0.064,-0.768,0.611
1685473177080,2023-05-30T21:59:37.080,1.940,0.071,-0.771,0.629
1685473177100,2023-05-30T21:59:37.100,1.960,0.091,-0.796,0.664
1685473177120,2023-05-30T21:59:37.120,1.980,0.112,-0.777,0.686
1685473177140,2023-05-30T21:59:37.140,2.000,0.105,-0.731,0.709
1685473177160,2023-05-30T21:59:37.160,2.020,0.078,-0.720,0.711
1685473177180,2023-05-30T21:59:37.180,2.040,0.066,-0.779,0.702
1685473177200,2023-05-30T21:59:37.200,2.060,0.081,-0.805,0.687
1685473177220,2023-05-30T21:59:37.220,2.080,0.089,-0.796,0.687
1685473177240,2023-05-30T21:59:37.240,2.100,0.105,-0.779,0.705
1685473177260,2023-05-30T21:59:37.260,2.120,0.122,-0.771,0.721
