epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685473602774,2023-05-30T22:06:42.774,0.000,-25.854,10.122,4.512
1685473602794,2023-05-30T22:06:42.794,0.020,-25.366,9.878,4.756
1685473602814,2023-05-30T22:06:42.814,0.040,-23.963,9.329,6.098
1685473602834,2023-05-30T22:06:42.834,0.060,-22.012,11.707,7.500
1685473602854,2023-05-30T22:06:42.854,0.080,-19.024,14.817,8.720
1685473602874,2023-05-30T22:06:42.874,0.100,-14.573,17.866,8.537
1685473602894,2023-05-30T22:06:42.894,0.120,-7.988,20.244,8.415
1685473602914,2023-05-30T22:06:42.914,0.140,-3.049,21.707,9.573
1685473602934,2023-05-30T22:06:42.934,0.160,-1.280,24.146,11.280
1685473602954,2023-05-30T22:06:42.954,0.180,0.488,28.171,12.805
1685473602974,2023-05-30T22:06:42.974,0.200,4.085,31.585,13.232
1685473602994,2023-05-30T22:06:42.994,0.220,8.110,31.890,11.341
1685473603014,2023-05-30T22:06:43.014,0.240,11.341,28.902,7.683
1685473603034,2023-05-30T22:06:43.034,0.260,14.146,25.671,3.415
1685473603054,2023-05-30T22:06:43.054,0.280,16.280,21.951,-1.646
1685473603074,2023-05-30T22:06:43.074,0.300,17.256,22.744,-8.110
1685473603094,2023-05-30T22:06:43.094,0.320,17.317,23.110,-13.354
1685473603114,2023-05-30T22:06:43.114,0.340,19.939,16.768,-14.573
1685473603134,2023-05-30T22:06:43.134,0.360,24.451,11.890,-16.098
1685473603154,2023-05-30T22:06:43.154,0.380,27.927,9.817,-19.085
1685473603174,2023-05-30T22:06:43.174,0.400,30.061,6.159,-20.549
1685473603194,2023-05-30T22:06:43.194,0.420,31.524,0.793,-20.183
1685473603214,2023-05-30T22:06:43.214,0.440,32.683,-4.085,-18.963
1685473603234,2023-05-30T22:06:43.234,0.460,33.598,-6.890,-18.476
1685473603254,2023-05-30T22:06:43.254,0.480,34.329,-7.073,-18.902
1685473603274,2023-05-30T22:06:43.274,0.500,34.939,-6.280,-18.415
1685473603294,2023-05-30T22:06:43.294,0.520,35.305,-7.439,-16.829
1685473603314,2023-05-30T22:06:43.314,0.540,34.207,-10.610,-15.244
1685473603334,2023-05-30T22:06:43.334,0.560,32.256,-11.341,-13.780
1685473603354,2023-05-30T22:06:43.354,0.580,30.183,-7.134,-12.439
1685473603374,2023-05-30T22:06:43.374,0.600,27.500,-3.293,-11.341
1685473603394,2023-05-30T22:06:43.394,0.620,23.110,-6.098,-10.183
1685473603414,2023-05-30T22:06:43.414,0.640,18.659,-11.037,-9.268
1685473603434,2023-05-30T22:06:43.434,0.660,15.610,-9.207,-7.317
1685473603454,2023-05-30T22:06:43.454,0.680,12.256,-3.780,-4.268
1685473603474,2023-05-30T22:06:43.474,0.700,7.012,-1.890,-1.707
1685473603494,2023-05-30T22:06:43.494,0.720,1.585,-1.585,0.305
1685473603514,2023-05-30T22:06:43.514,0.740,-1.951,-0.793,1.768
1685473603534,2023-05-30T22:06:43.534,0.760,-4.329,-0.793,2.744
1685473603554,2023-05-30T22:06:43.554,0.780,-7.317,0.488,2.927
1685473603574,2023-05-30T22:06:43.574,0.800,-10.915,1.890,3.780
1685473603594,2023-05-30T22:06:43.594,0.820,-13.780,1.646,4.085
1685473603614,2023-05-30T22:06:43.614,0.840,-15.366,3.232,3.841
1685473603634,2023-05-30T22:06:43.634,0.860,-16.951,4.512,3.963
1685473603654,2023-05-30T22:06:43.654,0.880,-18.659,3.720,4.146
1685473603674,2023-05-30T22:06:43.674,0.900,-19.573,4.390,4.756
1685473603694,2023-05-30T22:06:43.694,0.920,-21.037,5.610,4.878
1685473603714,2023-05-30T22:06:43.714,0.940,-22.378,7.927,4.207
1685473603734,2023-05-30T22:06:43.734,0.960,-23.476,11.220,3.780
1685473603754,2023-05-30T22:06:43.754,0.980,-25.122,11.951,5.122
1685473603774,2023-05-30T22:06:43.774,1.000,-28.354,9.817,5.793
1685473603794,2023-05-30T22:06:43.794,1.020,-31.341,10.671,5.244
1685473603814,2023-05-30T22:06:43.814,1.040,-32.988,15.549,4.024
1685473603834,2023-05-30T22:06:43.834,1.060,-34.634,19.512,3.293
1685473603854,2023-05-30T22:06:43.854,1.080,-37.622,19.512,2.988
1685473603874,2023-05-30T22:06:43.874,1.100,-39.390,19.878,1.646
1685473603894,2023-05-30T22:06:43.894,1.120,-40.732,22.805,-0.732
1685473603914,2023-05-30T22:06:43.914,1.140,-41.402,25.793,-3.598
1685473603934,2023-05-30T22:06:43.934,1.160,-41.707,25.671,-8.171
1685473603954,2023-05-30T22:06:43.954,1.180,-42.317,21.951,-11.463
1685473603974,2023-05-30T22:06:43.974,1.200,-41.707,18.598,-12.073
1685473603994,2023-05-30T22:06:43.994,1.220,-41.768,17.378,-12.012
1685473604014,2023-05-30T22:06:44.014,1.240,-40.549,18.354,-12.683
1685473604034,2023-05-30T22:06:44.034,1.260,-38.171,18.232,-13.415
1685473604054,2023-05-30T22:06:44.054,1.280,-36.037,18.598,-14.268
1685473604074,2023-05-30T22:06:44.074,1.300,-34.634,19.024,-15.610
1685473604094,2023-05-30T22:06:44.094,1.320,-32.683,17.317,-16.951
1685473604114,2023-05-30T22:06:44.114,1.340,-29.451,13.598,-17.927
1685473604134,2023-05-30T22:06:44.134,1.360,-25.915,14.024,-19.512
1685473604154,2023-05-30T22:06:44.154,1.380,-22.134,15.793,-21.524
1685473604174,2023-05-30T22:06:44.174,1.400,-18.415,15.488,-23.902
1685473604194,2023-05-30T22:06:44.194,1.420,-15.610,14.268,-27.073
1685473604214,2023-05-30T22:06:44.214,1.440,-12.988,13.232,-29.573
1685473604234,2023-05-30T22:06:44.234,1.460,-9.146,10.793,-30.244
1685473604254,2023-05-30T22:06:44.254,1.480,-4.756,7.256,-29.756
1685473604274,2023-05-30T22:06:44.274,1.500,-0.305,5.061,-29.573
1685473604294,2023-05-30T22:06:44.294,1.520,5.000,3.780,-27.561
1685473604314,2023-05-30T22:06:44.314,1.540,12.256,5.732,-24.756
1685473604334,2023-05-30T22:06:44.334,1.560,19.451,5.671,-21.951
1685473604354,2023-05-30T22:06:44.354,1.580,25.671,2.012,-19.390
1685473604374,2023-05-30T22:06:44.374,1.600,30.793,1.220,-17.500
1685473604394,2023-05-30T22:06:44.394,1.620,35.488,-0.305,-16.707
1685473604414,2023-05-30T22:06:44.414,1.640,39.451,-3.659,-17.500
