epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685474499173,2023-05-30T22:21:39.173,0.000,-0.077,-0.888,0.474
1685474499193,2023-05-30T22:21:39.193,0.020,-0.060,-0.894,0.456
1685474499213,2023-05-30T22:21:39.213,0.040,-0.050,-0.892,0.454
1685474499233,2023-05-30T22:21:39.233,0.060,-0.050,-0.906,0.444
1685474499253,2023-05-30T22:21:39.253,0.080,-0.022,-0.907,0.426
1685474499273,2023-05-30T22:21:39.273,0.100,-0.021,-0.905,0.413
1685474499293,2023-05-30T22:21:39.293,0.120,-0.030,-0.899,0.411
1685474499313,2023-05-30T22:21:39.313,0.140,-0.033,-0.888,0.423
1685474499333,2023-05-30T22:21:39.333,0.160,-0.050,-0.875,0.430
1685474499353,2023-05-30T22:21:39.353,0.180,-0.062,-0.863,0.415
1685474499373,2023-05-30T22:21:39.373,0.200,-0.057,-0.850,0.403
1685474499393,2023-05-30T22:21:39.393,0.220,-0.083,-0.836,0.406
1685474499413,2023-05-30T22:21:39.413,0.240,-0.083,-0.818,0.406
1685474499433,2023-05-30T22:21:39.433,0.260,-0.086,-0.804,0.395
1685474499453,2023-05-30T22:21:39.453,0.280,-0.153,-0.792,0.374
1685474499473,2023-05-30T22:21:39.473,0.300,-0.162,-0.775,0.366
1685474499493,2023-05-30T22:21:39.493,0.320,-0.198,-0.742,0.359
1685474499513,2023-05-30T22:21:39.513,0.340,-0.208,-0.715,0.369
1685474499533,2023-05-30T22:21:39.533,0.360,-0.262,-0.710,0.395
1685474499553,2023-05-30T22:21:39.553,0.380,-0.288,-0.720,0.409
1685474499573,2023-05-30T22:21:39.573,0.400,-0.302,-0.727,0.426
1685474499593,2023-05-30T22:21:39.593,0.420,-0.328,-0.728,0.445
1685474499613,2023-05-30T22:21:39.613,0.440,-0.354,-0.707,0.453
1685474499633,2023-05-30T22:21:39.633,0.460,-0.363,-0.689,0.479
1685474499653,2023-05-30T22:21:39.653,0.480,-0.387,-0.704,0.510
1685474499673,2023-05-30T22:21:39.673,0.500,-0.401,-0.715,0.522
1685474499693,2023-05-30T22:21:39.693,0.520,-0.427,-0.708,0.541
1685474499713,2023-05-30T22:21:39.713,0.540,-0.424,-0.711,0.561
1685474499733,2023-05-30T22:21:39.733,0.560,-0.401,-0.711,0.578
1685474499753,2023-05-30T22:21:39.753,0.580,-0.403,-0.710,0.584
1685474499773,2023-05-30T22:21:39.773,0.600,-0.404,-0.734,0.597
1685474499793,2023-05-30T22:21:39.793,0.620,-0.397,-0.757,0.617
1685474499813,2023-05-30T22:21:39.813,0.640,-0.381,-0.753,0.638
1685474499833,2023-05-30T22:21:39.833,0.660,-0.373,-0.747,0.657
