epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685475129688,2023-05-30T22:32:09.688,0.000,-14.146,14.268,-9.207
1685475129708,2023-05-30T22:32:09.708,0.020,-14.390,14.817,-8.902
1685475129728,2023-05-30T22:32:09.728,0.040,-14.573,13.415,-9.024
1685475129748,2023-05-30T22:32:09.748,0.060,-14.268,12.256,-9.268
1685475129768,2023-05-30T22:32:09.768,0.080,-14.451,12.195,-8.780
1685475129788,2023-05-30T22:32:09.788,0.100,-15.671,12.622,-7.195
1685475129808,2023-05-30T22:32:09.808,0.120,-18.110,13.476,-5.976
1685475129828,2023-05-30T22:32:09.828,0.140,-17.195,15.000,-4.634
1685475129848,2023-05-30T22:32:09.848,0.160,-15.000,11.524,0.183
1685475129868,2023-05-30T22:32:09.868,0.180,-13.171,6.159,5.671
1685475129888,2023-05-30T22:32:09.888,0.200,-11.707,4.268,10.854
1685475129908,2023-05-30T22:32:09.908,0.220,-9.024,6.341,16.524
1685475129928,2023-05-30T22:32:09.928,0.240,-6.280,7.622,21.951
1685475129948,2023-05-30T22:32:09.948,0.260,-3.415,8.110,26.829
1685475129968,2023-05-30T22:32:09.968,0.280,-0.183,7.439,31.280
1685475129988,2023-05-30T22:32:09.988,0.300,5.000,9.817,36.524
1685475130008,2023-05-30T22:32:10.008,0.320,8.354,25.000,40.183
1685475130028,2023-05-30T22:32:10.028,0.340,9.024,37.500,42.317
1685475130048,2023-05-30T22:32:10.048,0.360,9.695,36.646,45.244
1685475130068,2023-05-30T22:32:10.068,0.380,10.976,30.305,46.341
1685475130088,2023-05-30T22:32:10.088,0.400,13.476,26.280,46.768
1685475130108,2023-05-30T22:32:10.108,0.420,15.061,25.732,47.805
1685475130128,2023-05-30T22:32:10.128,0.440,15.610,23.780,47.683
1685475130148,2023-05-30T22:32:10.148,0.460,17.805,16.890,46.707
1685475130168,2023-05-30T22:32:10.168,0.480,22.805,11.037,45.732
1685475130188,2023-05-30T22:32:10.188,0.500,28.049,8.598,44.451
1685475130208,2023-05-30T22:32:10.208,0.520,32.622,8.049,42.439
1685475130228,2023-05-30T22:32:10.228,0.540,36.768,11.037,40.549
1685475130248,2023-05-30T22:32:10.248,0.560,39.878,12.378,39.756
1685475130268,2023-05-30T22:32:10.268,0.580,41.524,11.585,37.500
1685475130288,2023-05-30T22:32:10.288,0.600,42.073,12.195,32.439
1685475130308,2023-05-30T22:32:10.308,0.620,43.415,10.122,27.500
1685475130328,2023-05-30T22:32:10.328,0.640,45.061,4.634,23.049
1685475130348,2023-05-30T22:32:10.348,0.660,45.366,1.402,18.841
1685475130368,2023-05-30T22:32:10.368,0.680,44.207,0.366,13.963
1685475130388,2023-05-30T22:32:10.388,0.700,43.354,1.890,7.744
1685475130408,2023-05-30T22:32:10.408,0.720,44.024,3.354,1.463
1685475130428,2023-05-30T22:32:10.428,0.740,44.573,0.610,-5.122
1685475130448,2023-05-30T22:32:10.448,0.760,43.293,-2.683,-12.073
1685475130468,2023-05-30T22:32:10.468,0.780,40.427,-0.244,-19.268
1685475130488,2023-05-30T22:32:10.488,0.800,38.720,0.549,-26.280
1685475130508,2023-05-30T22:32:10.508,0.820,38.354,-0.671,-32.012
1685475130528,2023-05-30T22:32:10.528,0.840,36.341,1.341,-37.744
1685475130548,2023-05-30T22:32:10.548,0.860,33.293,2.683,-42.561
1685475130568,2023-05-30T22:32:10.568,0.880,30.061,4.512,-46.220
1685475130588,2023-05-30T22:32:10.588,0.900,26.220,9.329,-49.695
1685475130608,2023-05-30T22:32:10.608,0.920,22.622,13.598,-52.622
1685475130628,2023-05-30T22:32:10.628,0.940,18.659,15.427,-54.817
1685475130648,2023-05-30T22:32:10.648,0.960,13.598,16.463,-56.768
1685475130668,2023-05-30T22:32:10.668,0.980,8.171,17.500,-58.659
1685475130688,2023-05-30T22:32:10.688,1.000,1.951,19.817,-60.305
1685475130708,2023-05-30T22:32:10.708,1.020,-4.146,20.671,-60.366
1685475130728,2023-05-30T22:32:10.728,1.040,-10.610,22.317,-59.573
1685475130748,2023-05-30T22:32:10.748,1.060,-16.707,26.402,-59.146
1685475130768,2023-05-30T22:32:10.768,1.080,-22.195,27.439,-57.927
1685475130788,2023-05-30T22:32:10.788,1.100,-27.256,24.512,-55.244
1685475130808,2023-05-30T22:32:10.808,1.120,-32.805,24.756,-51.768
1685475130828,2023-05-30T22:32:10.828,1.140,-38.963,27.683,-46.646
1685475130848,2023-05-30T22:32:10.848,1.160,-43.598,25.976,-39.207
1685475130868,2023-05-30T22:32:10.868,1.180,-47.439,23.963,-33.354
1685475130888,2023-05-30T22:32:10.888,1.200,-51.159,23.049,-29.939
1685475130908,2023-05-30T22:32:10.908,1.220,-53.415,21.159,-25.488
1685475130928,2023-05-30T22:32:10.928,1.240,-56.220,18.537,-19.756
1685475130948,2023-05-30T22:32:10.948,1.260,-58.659,15.244,-13.354
1685475130968,2023-05-30T22:32:10.968,1.280,-59.695,13.902,-6.524
1685475130988,2023-05-30T22:32:10.988,1.300,-60.488,14.573,-0.671
1685475131008,2023-05-30T22:32:11.008,1.320,-61.159,13.171,5.244
1685475131028,2023-05-30T22:32:11.028,1.340,-62.256,8.293,10.671
1685475131048,2023-05-30T22:32:11.048,1.360,-61.524,3.049,15.610
1685475131068,2023-05-30T22:32:11.068,1.380,-58.537,-0.183,21.707
1685475131088,2023-05-30T22:32:11.088,1.400,-55.000,-1.524,28.171
1685475131108,2023-05-30T22:32:11.108,1.420,-50.061,-4.329,34.878
1685475131128,2023-05-30T22:32:11.128,1.440,-44.268,-6.524,42.073
1685475131148,2023-05-30T22:32:11.148,1.460,-38.902,-7.500,47.988
1685475131168,2023-05-30T22:32:11.168,1.480,-32.683,-11.037,52.256
1685475131188,2023-05-30T22:32:11.188,1.500,-25.610,-15.061,54.634
1685475131208,2023-05-30T22:32:11.208,1.520,-17.988,-15.915,55.549
1685475131228,2023-05-30T22:32:11.228,1.540,-11.037,-16.463,55.061
1685475131248,2023-05-30T22:32:11.248,1.560,-4.817,-15.854,52.744
1685475131268,2023-05-30T22:32:11.268,1.580,0.671,-12.866,48.963
1685475131288,2023-05-30T22:32:11.288,1.600,4.390,-8.598,43.354
1685475131308,2023-05-30T22:32:11.308,1.620,5.427,-4.512,35.610
1685475131328,2023-05-30T22:32:11.328,1.640,4.512,-1.585,26.341
1685475131348,2023-05-30T22:32:11.348,1.660,2.805,-0.427,14.085
1685475131368,2023-05-30T22:32:11.368,1.680,3.110,-2.378,2.317
1685475131388,2023-05-30T22:32:11.388,1.700,4.512,-7.500,-6.098
1685475131408,2023-05-30T22:32:11.408,1.720,4.756,-9.146,-12.439
1685475131428,2023-05-30T22:32:11.428,1.740,3.537,-11.402,-16.585
1685475131448,2023-05-30T22:32:11.448,1.760,2.622,-17.500,-14.207
1685475131468,2023-05-30T22:32:11.468,1.780,2.988,-18.232,-6.524
1685475131488,2023-05-30T22:32:11.488,1.800,6.707,-11.768,7.195
1685475131508,2023-05-30T22:32:11.508,1.820,12.256,-6.890,23.963
1685475131528,2023-05-30T22:32:11.528,1.840,16.159,-6.707,37.683
1685475131548,2023-05-30T22:32:11.548,1.860,18.841,-8.232,48.659
1685475131568,2023-05-30T22:32:11.568,1.880,22.378,-11.890,58.841
1685475131588,2023-05-30T22:32:11.588,1.900,26.890,-11.646,67.134
1685475131608,2023-05-30T22:32:11.608,1.920,30.427,-8.841,71.402
1685475131628,2023-05-30T22:32:11.628,1.940,31.768,-3.354,71.524
1685475131648,2023-05-30T22:32:11.648,1.960,32.134,-0.366,63.780
1685475131668,2023-05-30T22:32:11.668,1.980,34.939,-1.402,51.341
1685475131688,2023-05-30T22:32:11.688,2.000,35.122,5.305,33.354
